职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
初级C++开发,成都奎安科技,"['30.554107', '104.077616']",156080776,5-8千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 19:31:13,5.0,8.0,6.5,30.554107,104.077616,成都,高新区,4.0,0.0
C++工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",164493844,1-1.5万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:41,10.0,15.0,12.5,30.554107,104.077616,成都,高新区,4.0,0.0
初级软件工程师,石家庄迈众人力资源服务,"['30.567459', '104.200479']",168316079,1-1.5万,成都,本科,无需经验,民营,专业服务(咨询、人力资源、财会),2025-12-26 16:53:58,10.0,15.0,12.5,30.567459,104.200479,成都,,4.0,0.0
物联网工程师,上海仁廉信息科技,"['30.545668', '104.094073']",166565507,9千-1.2万·13薪,成都-双流区,大专,无需经验,民营,计算机服务(系统、数据服务、维修),2025-12-27 13:19:21,8.3,11.1,9.7,30.545668,104.094073,成都,双流区,3.0,0.0
物联网工程师（实习）,成都维创利星科技,"['30.702804', '104.173677']",153210536,6-8千,成都-成华区,大专,无需经验,民营,专业服务(咨询、人力资源、财会),2025-10-31 09:24:08,6.0,8.0,7.0,30.702804,104.173677,成都,成华区,3.0,0.0
电子工程师,四川非凡网毅科技,"['30.478835', '104.02138']",168803202,5-7千,成都,大专,无需经验,民营,计算机软件,2025-12-26 08:49:33,5.0,7.0,6.0,30.478835,104.02138,成都,,3.0,0.0
C++软件工程师,成都赫尔墨斯科技,"['30.531858', '104.074853']",153266694,8千-1.6万·13薪,成都,本科,1年及以上,已上市,计算机软件,2025-12-26 10:56:05,7.4,14.8,11.1,30.531858,104.074853,成都,,4.0,1.0
初级软件工程师,成都安铭汇信息技术,"['30.547993', '104.077834']",167838395,4-8千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-11-24 11:38:53,4.0,8.0,6.0,30.547993,104.077834,成都,武侯区,4.0,0.0
物联网工程师（实习）,四川畅讯建设工程,"['30.513995', '104.059227']",156664153,5-8.5千,成都-高新区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 09:17:40,5.0,8.5,6.8,30.513995,104.059227,成都,高新区,3.0,0.0
软件算法工程师,飞秒创芯（成都）光电技术,"['30.414722', '104.116381']",169063025,1-2万,成都-天府新区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-04 10:00:10,10.0,20.0,15.0,30.414722,104.116381,成都,天府新区,4.0,1.0
新品研发工程师（实习生）,成都飞亚航空设备应用研究所,"['30.684275', '103.813559']",167786461,6-9千,成都-温江区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-11-24 09:26:39,6.0,9.0,7.5,30.684275,103.813559,成都,温江区,4.0,0.0
软件测试工程师  C/C++（无线通信方向）,叠拓信息技术（北京）有限公司成都分,"['30.554107', '104.077616']",161918834,7千-1.2万,成都-高新区,本科,在校生/应届生,外资（欧美）,计算机软件,2025-12-10 12:53:16,7.0,12.0,9.5,30.554107,104.077616,成都,高新区,4.0,0.0
电子工程师,成都风雨兴科技,"['30.645643', '104.033027']",169479372,5千-1万,成都,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-25 10:42:35,5.0,10.0,7.5,30.645643,104.033027,成都,,3.0,0.0
电控研发岗,成都微精电机股份,"['30.694484', '104.171851']",161143946,15-30万/年,成都-成华区,本科,1年及以上,国企,机械/设备/重工,2025-11-10 11:03:42,12.5,25.0,18.8,30.694484,104.171851,成都,成华区,4.0,1.0
物联网工程师,成都安铭汇信息技术,"['30.547993', '104.077834']",162906761,9千-1.2万,成都-武侯区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,9.0,12.0,10.5,30.547993,104.077834,成都,武侯区,3.0,0.0
初级软件工程师,四川科达锐信息技术,"['30.565569', '104.281814']",169340680,5-7千·13薪,成都,大专,无需经验,民营,计算机软件,2025-11-17 16:54:39,4.6,6.5,5.5,30.565569,104.281814,成都,,3.0,0.0
软件开发实习生,成都云绎智创科技,"['30.540466', '104.172407']",169887302,130元/天,成都-天府新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-25 17:51:19,2.9,2.9,2.9,30.540466,104.172407,成都,天府新区,4.0,0.0
软件开发工程师（GPU方向）,芯原微电子（成都）,"['30.554107', '104.077616']",165886758,1.8-3.5万,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 11:02:38,18.0,35.0,26.5,30.554107,104.077616,成都,高新区,5.0,0.0
c++开发工程师,成都安铭汇信息技术,"['30.547993', '104.077834']",167837182,5-8千,成都-武侯区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,5.0,8.0,6.5,30.547993,104.077834,成都,武侯区,3.0,0.0
硬件工程师,西安布质科技,"['30.553797', '104.071514']",158651929,7千-1.2万,成都-高新区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:58:25,7.0,12.0,9.5,30.553797,104.071514,成都,高新区,3.0,0.0
芯片设计实习生（应届生）,四川科航锐科技,"['30.665568', '104.076985']",162493012,3-6千,成都-青羊区,本科,无需经验,民营,计算机软件,2025-12-26 09:50:22,3.0,6.0,4.5,30.665568,104.076985,成都,青羊区,4.0,0.0
助理软硬件测试工程师,北京智链元芯科技,"['30.658944', '104.08633']",169097865,6-9千·13薪,成都-锦江区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-05 11:20:34,5.5,8.3,6.9,30.658944,104.08633,成都,锦江区,4.0,1.0
初级软件工程师,宜宾九博信息技术,"['30.586929', '104.083059']",167848928,5-6千,成都-武侯区,本科,1年,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,5.0,6.0,5.5,30.586929,104.083059,成都,武侯区,4.0,1.0
初级测试工程师,四川畅讯建设工程,"['30.513995', '104.059227']",153332162,2-4千,成都-高新区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 09:17:40,2.0,4.0,3.0,30.513995,104.059227,成都,高新区,3.0,0.0
汽车电子测试,四川任由行通信科技,"['30.552953', '104.040735']",169536245,5-7.5千,成都,本科,无需经验,民营,电子技术/半导体/集成电路,2025-11-27 16:02:27,5.0,7.5,6.2,30.552953,104.040735,成都,,4.0,0.0
电子开发技术助理实习,宜宾九博信息技术,"['30.586929', '104.083059']",164313557,4-6千,成都-武侯区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,4.0,6.0,5.0,30.586929,104.083059,成都,武侯区,4.0,0.0
硬件测试工程师,成都思鸿维科技,"['30.580964', '104.072722']",131633442,6-9千·14薪,成都-高新区,本科,1年及以上,民营,仪器仪表/工业自动化,2025-12-25 09:31:28,5.1,7.7,6.4,30.580964,104.072722,成都,高新区,4.0,1.0
5g核心网工程师助理,四川科达锐信息技术,"['30.565569', '104.281814']",169342441,5-6千·13薪,成都,本科,无需经验,民营,计算机软件,2025-11-17 17:33:53,4.6,5.5,5.1,30.565569,104.281814,成都,,4.0,0.0
硬件工程师助理,四川新智极机械,"['30.713469', '104.034868']",159733937,5-8千·13薪,成都-金牛区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 09:06:48,4.6,7.4,6.0,30.713469,104.034868,成都,金牛区,3.0,0.0
服务器开发实习生,成都数字天空科技,"['30.554107', '104.077616']",161925606,3-4千,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:04,3.0,4.0,3.5,30.554107,104.077616,成都,高新区,4.0,0.0
软件工程师,芯原微电子（成都）,"['30.554107', '104.077616']",167244002,1.8-2万·14薪,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 11:02:39,15.4,17.1,16.3,30.554107,104.077616,成都,高新区,5.0,0.0
物联网工程师助理,四川科达锐信息技术,"['30.565569', '104.281814']",169342916,5-7千·13薪,成都,大专,无需经验,民营,计算机软件,2025-11-17 17:50:41,4.6,6.5,5.5,30.565569,104.281814,成都,,3.0,0.0
2026校招BSP驱动开发工程师,润芯微科技（江苏）,"['30.668466', '104.078183']",169986908,7千-1.1万,成都-青羊区,本科,在校生/应届生,民营,计算机软件,2025-12-25 10:27:37,7.0,11.0,9.0,30.668466,104.078183,成都,青羊区,4.0,0.0
硬件工程师（2026届）,成都瑞迪威科技,"['30.506525', '104.093513']",165885732,9千-1.2万,成都-高新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-24 09:51:23,9.0,12.0,10.5,30.506525,104.093513,成都,高新区,4.0,0.0
测试工程师,成都臻识科技发展,"['30.554107', '104.077616']",161920138,8千-1万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:53:03,8.0,10.0,9.0,30.554107,104.077616,成都,高新区,4.0,0.0
硬件测试实习生,四川科达锐信息技术,"['30.565569', '104.281814']",168860985,4-6千,成都,本科,无需经验,民营,计算机软件,2025-11-17 16:51:19,4.0,6.0,5.0,30.565569,104.281814,成都,,4.0,0.0
电子工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168833369,5-7千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-05 09:32:29,5.0,7.0,6.0,30.679401,104.072192,成都,青羊区,3.0,0.0
电子工程师,北京览鸿科技,"['30.621846', '104.074385']",150216864,8千-1.3万,成都,大专,无需经验,民营,计算机软件,2025-12-26 10:13:37,8.0,13.0,10.5,30.621846,104.074385,成都,,3.0,0.0
SOC软件工程师,成都市卓胜微电子,"['30.554107', '104.077616']",161923951,1.8-2万·15薪,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 12:53:06,14.4,16.0,15.2,30.554107,104.077616,成都,高新区,5.0,0.0
车机架构工程师,金琥新能源汽车（成都）,"['30.515545', '104.091761']",166677101,2-3万,成都-高新区,本科,在校生/应届生,民营,汽车,2025-12-10 11:02:21,20.0,30.0,25.0,30.515545,104.091761,成都,高新区,4.0,0.0
硬件工程师,郑州多弥电子科技,"['30.662924', '104.076699']",165074701,8千-1.2万,成都-锦江区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 10:24:09,8.0,12.0,10.0,30.662924,104.076699,成都,锦江区,3.0,0.0
硬件工程师,中国电子科技集团公司第十研究所,"['0.000000', '0.000000']",167577443,1.5-2万,成都,硕士,在校生/应届生,事业单位,电子技术/半导体/集成电路,2025-11-12 10:15:00,15.0,20.0,17.5,0.0,0.0,成都,,5.0,0.0
初级硬件工程师,成都奥瑞科电子科技,"['30.750947', '103.964777']",167936535,6-8千,成都-高新区,本科,1年,民营,电子技术/半导体/集成电路,2025-12-26 14:00:38,6.0,8.0,7.0,30.750947,103.964777,成都,高新区,4.0,1.0
软件开发工程师（GPU方向）,芯原微电子（成都）,"['30.554107', '104.077616']",162263648,1.8-2万·14薪,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 12:52:39,15.4,17.1,16.3,30.554107,104.077616,成都,高新区,5.0,0.0
C语言开发工程师,四川科航锐科技,"['30.665568', '104.076985']",162493158,5-7千,成都-青羊区,大专,无需经验,民营,计算机软件,2025-12-26 09:50:22,5.0,7.0,6.0,30.665568,104.076985,成都,青羊区,3.0,0.0
电子开发技术（实习生）,宜宾九博信息技术,"['30.586929', '104.083059']",164121904,3-6千,成都-武侯区,大专,1年及以上,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,3.0,6.0,4.5,30.586929,104.083059,成都,武侯区,3.0,1.0
硬件工程师,成都风雨兴科技,"['30.645643', '104.033027']",169479258,6千-1.2万,成都,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-25 10:42:35,6.0,12.0,9.0,30.645643,104.033027,成都,,3.0,0.0
初级C++开发,成都臻琰科技,"['30.648713', '104.049424']",157020547,5-7千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,5.0,7.0,6.0,30.648713,104.049424,成都,武侯区,4.0,0.0
嵌入式调试工程师,成都河狸智能科技,"['30.773795', '103.941794']",168895889,5-7千,成都-郫都区,本科,1年及以上,创业公司,仪器仪表/工业自动化,2025-10-27 15:28:25,5.0,7.0,6.0,30.773795,103.941794,成都,郫都区,4.0,1.0
C/C++开发工程师,成都零夏八度科技,"['30.545565', '104.081865']",158355298,7-9千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 19:23:16,7.0,9.0,8.0,30.545565,104.081865,成都,高新区,4.0,0.0
嵌入式linux软件实习生,成都科立创智能科技,"['30.552939', '104.052905']",161071498,50元/天,成都-高新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-10-29 12:19:30,1.1,1.1,1.1,30.552939,104.052905,成都,高新区,4.0,0.0
软件工程师实习生（C++方向）,成都视道信息技术,"['30.765144', '103.910165']",140462719,150元/天,成都,本科,在校生/应届生,民营,仪器仪表/工业自动化,2025-12-06 14:30:55,3.3,3.3,3.3,30.765144,103.910165,成都,,4.0,0.0
电子工程师,四川进拓创力机械设备,"['30.620771', '104.010608']",152104538,4-6千,成都-武侯区,大专,无需经验,民营,原材料和加工,2025-12-26 08:54:14,4.0,6.0,5.0,30.620771,104.010608,成都,武侯区,3.0,0.0
硬件工程师（初级/中级）,北京骐骥优才科技,"['30.658944', '104.08633']",169591230,7.5千-1.4万·13薪,成都-锦江区,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-01 22:01:15,6.9,12.9,9.9,30.658944,104.08633,成都,锦江区,4.0,1.0
物联网助理工程师,北京智链元芯科技,"['30.658944', '104.08633']",168642254,6-9千·14薪,成都-锦江区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-10-15 16:30:28,5.1,7.7,6.4,30.658944,104.08633,成都,锦江区,4.0,1.0
物联网工程师,成都臻琰科技,"['30.648713', '104.049424']",157025954,6-8千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,6.0,8.0,7.0,30.648713,104.049424,成都,武侯区,4.0,0.0
电子工程师助理,上海普拉齐兹科技,"['30.565716', '104.065116']",162802491,8千-1.6万,成都,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 11:30:38,8.0,16.0,12.0,30.565716,104.065116,成都,,4.0,0.0
fpga工程师（应届）,成都奥瑞科电子科技,"['30.750947', '103.964777']",169112998,6千-1万,成都-高新区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:00:26,6.0,10.0,8.0,30.750947,103.964777,成都,高新区,4.0,0.0
嵌入式硬件工程师,四川坤弘远祥科技,"['30.804453', '103.956302']",169390767,7千-1.2万,成都-郫都区,硕士,无需经验,合资,仪器仪表/工业自动化,2025-11-19 16:58:02,7.0,12.0,9.5,30.804453,103.956302,成都,郫都区,5.0,0.0
嵌入式软件工程师（电机控制）,海孚斯科技（上海）,"['30.539467', '103.99617']",169061519,1.2-2.2万·13薪,成都-双流区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-04 09:33:13,11.1,20.3,15.7,30.539467,103.99617,成都,双流区,4.0,1.0
急招电子工程师助理,四川智优网络科技,"['30.58118', '103.893271']",165315995,6-8千,成都-双流区,,无需经验,民营,计算机软件,2025-11-20 09:16:00,6.0,8.0,7.0,30.58118,103.893271,成都,双流区,,0.0
电子工程师助理,内蒙古朝正机械设备,"['30.821817', '103.927688']",167536631,6-8千,成都-郫都区,大专,无需经验,民营,计算机软件,2025-12-25 15:32:40,6.0,8.0,7.0,30.821817,103.927688,成都,郫都区,3.0,0.0
初级软件工程师,西安星云信通通信科技,"['30.639015', '103.983389']",161982625,5-8千,成都-武侯区,本科,1年及以上,民营,通信/电信/网络设备,2025-12-26 08:36:59,5.0,8.0,6.5,30.639015,103.983389,成都,武侯区,4.0,1.0
硬件测试工程师,成都融御歆信息技术,"['30.547122', '104.06545']",167452278,4-7千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,4.0,7.0,5.5,30.547122,104.06545,成都,高新区,4.0,0.0
产品研发部-嵌入式软件工程师（电器软件）,天府绛溪实验室,"['30.288917', '104.388153']",166597975,,成都,硕士,无需经验,事业单位,学术/科研,2025-10-28 14:34:49,,,,30.288917,104.388153,成都,,5.0,0.0
校招-信息处理工程师（嵌入式）,成都国星通信,"['30.739093', '103.975585']",167724286,22-26万/年,成都,硕士,无需经验,已上市,通信/电信/网络设备,2025-12-18 09:46:31,18.3,21.7,20.0,30.739093,103.975585,成都,,5.0,0.0
C++开发实习生,成都零夏八度科技,"['30.545565', '104.081865']",167434094,4-6千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 19:23:16,4.0,6.0,5.0,30.545565,104.081865,成都,高新区,4.0,0.0
C++实习生,成都融御歆信息技术,"['30.547122', '104.06545']",167448520,3.5-5.5千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,3.5,5.5,4.5,30.547122,104.06545,成都,高新区,4.0,0.0
硬件开发工程师,成都融御歆信息技术,"['30.547122', '104.06545']",167450231,6-7千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,6.0,7.0,6.5,30.547122,104.06545,成都,高新区,4.0,1.0
软件开发工程师（初级/中级）,北京智链元芯科技,"['30.658944', '104.08633']",168560874,6.5千-1.3万·13薪,成都-锦江区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-10-12 18:24:29,6.0,12.0,9.0,30.658944,104.08633,成都,锦江区,4.0,1.0
以太网测试工程师,达发芯科技（成都）,"['30.54422', '104.071226']",170018899,5.5-7千·13薪,成都-武侯区,本科,无需经验,外资（非欧美）,电子技术/半导体/集成电路,2025-12-26 18:16:30,5.1,6.5,5.8,30.54422,104.071226,成都,武侯区,4.0,0.0
QT开发,成都融御歆信息技术,"['30.547122', '104.06545']",167399139,6-9千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,6.0,9.0,7.5,30.547122,104.06545,成都,高新区,4.0,1.0
信号工程师（双休，五险一金）,成都唯博星辰科技,"['30.693531', '104.015803']",169364023,1.5-3万,成都-青羊区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-18 15:56:06,15.0,30.0,22.5,30.693531,104.015803,成都,青羊区,4.0,1.0
硬件测试,成都臻琰科技,"['30.648713', '104.049424']",157025330,5-7千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,5.0,7.0,6.0,30.648713,104.049424,成都,武侯区,4.0,0.0
硬件测试工程师,宜宾九博信息技术,"['30.586929', '104.083059']",164161503,4-6千,成都-武侯区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,4.0,6.0,5.0,30.586929,104.083059,成都,武侯区,4.0,1.0
软件开发工程师（六险一金）,深圳众芯优创科技,"['30.78979', '103.879466']",169801590,1.7-2.4万·15薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-13 09:43:41,13.6,19.2,16.4,30.78979,103.879466,成都,郫都区,4.0,0.0
软件测试工程师+六险一金+14薪,内蒙古小草人力资源服务,"['30.771712', '103.903199']",167884693,2-4万,成都,本科,无需经验,民营,专业服务(咨询、人力资源、财会),2025-10-20 18:24:34,20.0,40.0,30.0,30.771712,103.903199,成都,,4.0,0.0
车载测试,重庆喜相连科技,"['30.552843', '104.043195']",167971732,5-7千,成都,大专,无需经验,民营,计算机软件,2025-12-28 15:45:07,5.0,7.0,6.0,30.552843,104.043195,成都,,3.0,0.0
雷达工程师（电磁学）,成都正久医讯科技,"['30.616454', '104.09159']",163410434,2-4万,成都-武侯区,硕士,1年及以上,民营,医疗/护理/卫生,2025-12-26 09:11:56,20.0,40.0,30.0,30.616454,104.09159,成都,武侯区,5.0,1.0
成都软件测试工程师（六险一金，14薪）,深圳众芯优创科技,"['30.875854', '103.741271']",164520303,2-4万·14薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-26 09:19:10,17.1,34.3,25.7,30.875854,103.741271,成都,郫都区,4.0,0.0
仪器工程师（国企）,成都星云智联科技,"['30.69643', '104.05715']",169478390,8千-1万,成都-金牛区,本科,无需经验,国企,计算机软件,2025-12-26 11:32:53,8.0,10.0,9.0,30.69643,104.05715,成都,金牛区,4.0,0.0
算法工程师,成都众志天成科技,"['30.752632', '103.961747']",169888860,1-2万·13薪,成都-郫都区,硕士,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 15:56:19,9.2,18.5,13.8,30.752632,103.961747,成都,郫都区,5.0,0.0
测试工程师助理,成都至诚云连通信科技,"['30.685917', '104.150751']",164309668,5-8千,成都-成华区,本科,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,5.0,8.0,6.5,30.685917,104.150751,成都,成华区,4.0,0.0
底薪6000急招软件测试实习,成都才梓科技,"['30.600968', '104.069726']",153752919,4-6千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-11-19 10:40:27,4.0,6.0,5.0,30.600968,104.069726,成都,武侯区,4.0,0.0
车载测试工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",167261902,5-8千·13薪,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,4.6,7.4,6.0,30.685917,104.150751,成都,成华区,3.0,0.0
电子工程师助理,成都安铭汇信息技术,"['30.547993', '104.077834']",162905508,9千-1.2万,成都-武侯区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,9.0,12.0,10.5,30.547993,104.077834,成都,武侯区,3.0,0.0
助理电子工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",169215967,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-11 10:11:56,6.0,8.0,7.0,30.679401,104.072192,成都,青羊区,3.0,0.0
测试工程师,四川科航锐科技,"['30.665568', '104.076985']",162492779,5-8千,成都-青羊区,大专,无需经验,民营,计算机软件,2025-12-26 09:50:22,5.0,8.0,6.5,30.665568,104.076985,成都,青羊区,3.0,0.0
无人机应用技术,四川现代职业学院,"['30.523528', '104.004552']",168593163,5-8千,成都-双流区,硕士,1年及以上,民营,教育/培训/院校,2025-10-14 08:21:55,5.0,8.0,6.5,30.523528,104.004552,成都,双流区,5.0,1.0
数模混合硬件工程师,中国电子科技集团公司第十研究所,"['0.000000', '0.000000']",168131392,1.5-2万,成都,硕士,在校生/应届生,事业单位,电子技术/半导体/集成电路,2025-11-12 10:13:47,15.0,20.0,17.5,0.0,0.0,成都,,5.0,0.0
测试工程师/实习生,四川进拓创力机械设备,"['30.620771', '104.010608']",152104285,3-5千,成都-武侯区,大专,无需经验,民营,原材料和加工,2025-12-26 08:54:14,3.0,5.0,4.0,30.620771,104.010608,成都,武侯区,3.0,0.0
核心网工程师实习生,四川科达锐信息技术,"['30.565569', '104.281814']",169342723,5-7千·13薪,成都,大专,无需经验,民营,计算机软件,2025-11-17 17:44:21,4.6,6.5,5.5,30.565569,104.281814,成都,,3.0,0.0
硬件测试工程师7000+,四川畅讯建设工程,"['30.513995', '104.059227']",168699786,7-8千,成都-高新区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 09:17:40,7.0,8.0,7.5,30.513995,104.059227,成都,高新区,3.0,0.0
硬件测试助理工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",164308315,5-8千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,5.0,8.0,6.5,30.685917,104.150751,成都,成华区,3.0,0.0
FPGA工程师,成都微光集电科技,"['30.554107', '104.077616']",161969920,1.5-3万·13薪,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 12:52:37,13.8,27.7,20.8,30.554107,104.077616,成都,高新区,4.0,0.0
2026-软件工程师-成都(J10247),恒玄科技（上海）,"['30.54701', '104.06945']",166672865,1.5-3万·15薪,成都-武侯区,硕士,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-10-23 10:32:16,12.0,24.0,18.0,30.54701,104.06945,成都,武侯区,5.0,0.0
app软件测试助理,成都至诚云连通信科技,"['30.685917', '104.150751']",164311082,4-7千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,4.0,7.0,5.5,30.685917,104.150751,成都,成华区,3.0,0.0
高级通信研发工程师 (NR/LTE),叠拓信息技术（北京）有限公司成都分,"['30.554107', '104.077616']",164493284,1.5-2.6万,成都-高新区,本科,在校生/应届生,外资（欧美）,计算机软件,2025-12-10 11:02:19,15.0,26.0,20.5,30.554107,104.077616,成都,高新区,4.0,0.0
电子工程师,上海合益众信生物科技,"['30.722895', '103.907606']",168794950,6千-1.2万·13薪,成都,大专,无需经验,民营,制药/生物工程,2025-12-17 15:09:42,5.5,11.1,8.3,30.722895,103.907606,成都,,3.0,0.0
日本总部工作 软件工程师,阿迩贝司机电技术（上海）,"['31.226847', '121.430451']",156710027,1.1-1.3万,上海-长宁区,本科,在校生/应届生,外资（非欧美）,机械/设备/重工,2025-11-24 11:10:32,11.0,13.0,12.0,31.226847,121.430451,上海,长宁区,4.0,0.0
机械自动化控制工程师,飞秒创芯（成都）光电技术,"['30.414722', '104.116381']",169073109,1-2万,成都-天府新区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-04 13:59:33,10.0,20.0,15.0,30.414722,104.116381,成都,天府新区,4.0,1.0
Linux系统软件研发工程师,成都熊谷加世电器,"['30.764109', '103.916966']",150707377,18-25万/年,成都-郫都区,硕士,在校生/应届生,民营,机械/设备/重工,2025-11-22 11:59:17,15.0,20.8,17.9,30.764109,103.916966,成都,郫都区,5.0,0.0
智能硬件开发工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168833184,6-8千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-05 09:24:43,6.0,8.0,7.0,30.679401,104.072192,成都,青羊区,3.0,0.0
初级机器人工程师,四川新智极机械,"['30.713469', '104.034868']",161412508,5-8千,成都-金牛区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-18 09:06:48,5.0,8.0,6.5,30.713469,104.034868,成都,金牛区,3.0,0.0
初级C++开发,成都融御歆信息技术,"['30.547122', '104.06545']",167448721,5-7千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,5.0,7.0,6.0,30.547122,104.06545,成都,高新区,4.0,1.0
Linux系统软件测试工程师,成都熊谷加世电器,"['30.764109', '103.916966']",167287409,15-20万/年,成都-郫都区,硕士,在校生/应届生,民营,机械/设备/重工,2025-12-25 15:33:15,12.5,16.7,14.6,30.764109,103.916966,成都,郫都区,5.0,0.0
高级研发工程师（西）,前锦网络信息技术（上海）有限公司CQCP直通车项目组,"['30.596007', '104.073231']",165480005,2-4万,成都-高新区,本科,1年及以上,已上市,专业服务(咨询、人力资源、财会),2025-12-01 13:30:46,20.0,40.0,30.0,30.596007,104.073231,成都,高新区,4.0,1.0
QT开发工程师,成都奎安科技,"['30.554107', '104.077616']",156081369,6-9千,成都-高新区,本科,1年,民营,计算机软件,2025-12-25 19:31:13,6.0,9.0,7.5,30.554107,104.077616,成都,高新区,4.0,1.0
电子工程师,重庆青案堂科技,"['30.645423', '104.047172']",170001904,6-9千,成都,,无需经验,民营,计算机软件,2025-12-25 20:29:36,6.0,9.0,7.5,30.645423,104.047172,成都,,,0.0
QT研发工程师,成都熊谷加世电器,"['30.764109', '103.916966']",151348362,10-15万/年,成都-郫都区,本科,1年及以上,民营,机械/设备/重工,2025-11-22 11:53:45,8.3,12.5,10.4,30.764109,103.916966,成都,郫都区,4.0,1.0
FPGA开发工程师（实习）,成都图迅科技,"['30.543264', '104.064812']",169987460,200元/天,成都-高新区,本科,在校生/应届生,民营,通信/电信/网络设备,2025-12-25 10:41:40,4.4,4.4,4.4,30.543264,104.064812,成都,高新区,4.0,0.0
