公司标签,职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),省份,区域,详细地址,学历等级,经验年限
['大学生就业贡献'],嵌入式开发工程师,湖北创佑科兴信息科技,"['30.692004', '104.12832']",168207754,1-1.5万,成都,本科,1年及以上,民营,计算机软件,2025-11-28 11:45:18,10.0,15.0,12.5,四川省,成华区,四川省成都市成华区二仙桥街道民兴路41号成都英才学校,4.0,1.0
"['国企供应商', '拥有节能环保技术', '高新技术企业', '省级企业技术中心', '省级工程技术研究中心', '经营年限全国同行前15%', '绝对控股3家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前40%', '大学生就业贡献']",电子助理工程师,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561265,6千-1万,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:35:59,6.0,10.0,8.0,江苏省,昆山市,江苏省苏州市昆山市玉山镇景欣苑小区8栋,4.0,0.0
['大学生就业贡献'],嵌入式工程师,四川任由行通信科技,"['30.552953', '104.040735']",169911681,6-7.5千·13薪,成都,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-19 17:58:16,5.5,6.9,6.2,四川省,武侯区,四川省成都市武侯区石羊街道富华北路成都高新技术产业开发区(南区),4.0,0.0
[],硬件开发2（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089948,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:42,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
"['拥有节能环保技术', '高新技术企业', '科技型中小企业', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",汽车电子嵌入式底层驱动工程师,成都创科升电子科技,"['30.555307', '104.183629']",168610828,5千-1万,成都-龙泉驿区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-10-14 15:23:29,5.0,10.0,7.5,四川省,龙泉驿区,四川省成都市龙泉驿区大面街道车城西二路234号苏宁龙泉物流中心(经开区南二路),4.0,0.0
[],控制系统硬件开发（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089624,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:43,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
['大学生就业贡献'],嵌入式软件开发助理,成都臻琰科技,"['30.544243', '104.074739']",149328709,4-6千·13薪,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-30 08:02:04,3.7,5.5,4.6,四川省,武侯区,四川省成都市武侯区桂溪街道世纪城南路158号桂龙公园,4.0,0.0
['大学生就业贡献'],嵌入式开发工程师（初级）,成都融御歆信息技术,"['30.547122', '104.06545']",167449523,5-7千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-30 08:03:46,5.0,7.0,6.0,四川省,武侯区,四川省成都市武侯区桂溪街道萃华路119号花样年福年广场,4.0,1.0
[],硬件开发1（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168089652,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:23:42,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
[],硬件开发3（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.390866', '114.348331']",168090596,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:18,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道阳光三路,5.0,0.0
['大学生就业贡献'],嵌入式开发工程师,四川科达锐信息技术,"['30.565569', '104.281814']",168860428,4-6千,成都,本科,无需经验,民营,计算机软件,2025-11-17 16:51:19,4.0,6.0,5.0,四川省,龙泉驿区,四川省成都市龙泉驿区龙泉街道电建园,4.0,0.0
['大学生就业贡献'],嵌入式开发工程师助理,北京骐骥优才科技,"['30.658944', '104.08633']",169591236,6-9千·13薪,成都-锦江区,本科,1年及以上,民营,专业服务(咨询、人力资源、财会),2025-12-01 22:03:08,5.5,8.3,6.9,四川省,锦江区,四川省成都市锦江区书院街街道思维源邸,4.0,1.0
[],硬件开发4（工作地宜昌）,中国船舶集团有限公司第七一〇研究所,"['30.694217', '111.321064']",168095131,1.5-1.6万,宜昌,硕士,在校生/应届生,事业单位,学术/科研,2025-12-24 16:50:18,15.0,16.0,15.5,湖北省,西陵区,湖北省宜昌市西陵区南苑街道港窑路37-37#中恒沁园春,5.0,0.0
['大学生就业贡献'],嵌入式测试,成都臻琰科技,"['30.648713', '104.049424']",157025225,5-7千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-30 08:02:04,5.0,7.0,6.0,四川省,武侯区,四川省成都市武侯区浆洗街街道武侯祠大街95号成都飞机设计研究所B1住宅小区,4.0,0.0
['大学生就业贡献'],嵌入式实习生,成都融御歆信息技术,"['30.547122', '104.06545']",167449823,4-6千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-30 08:03:46,4.0,6.0,5.0,四川省,武侯区,四川省成都市武侯区桂溪街道萃华路119号花样年福年广场,4.0,0.0
['大学生就业贡献'],嵌入式助理工程师,四川进拓创力机械设备,"['30.620771', '104.010608']",152239907,5-7千,成都-武侯区,大专,无需经验,民营,原材料和加工,2025-12-31 09:15:26,5.0,7.0,6.0,四川省,武侯区,四川省成都市武侯区簇锦街道太平园路大合仓,3.0,0.0
"['拥有绿色资质', '拥有节能环保技术', '高新技术企业', '科技型中小企业', '双软认证企业', '专精特新企业', '国企供应商', '经营年限全国同行前15%', '天使轮融资', '省级政府引导基金投资', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前5%', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",高级嵌入式研发工程师,成都菁蓉联创科技,"['30.554107', '104.077616']",164494388,2-3万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:39,20.0,30.0,25.0,四川省,武侯区,四川省成都市武侯区桂溪街道世纪城路198附2016号成都世纪城国际展览中心7号馆,4.0,0.0
