职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
fpga工程师（应届）,成都奥瑞科电子科技,"['30.750947', '103.964777']",169112998,6千-1万,成都-高新区,本科,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:00:26,6.0,9.0,7.5,30.750947,103.964777,成都,高新区,4.0,0.0
嵌入式硬件工程师,四川坤弘远祥科技,"['30.804453', '103.956302']",169390767,7千-1.2万,成都-郫都区,硕士,无需经验,合资,仪器仪表/工业自动化,2025-11-19 16:58:02,15.0,30.0,22.5,30.804453,103.956302,成都,郫都区,5.0,0.0
嵌入式软件工程师（电机控制）,海孚斯科技（上海）,"['30.539467', '103.99617']",169061519,1.2-2.2万·13薪,成都-双流区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-04 09:33:13,5.0,7.0,6.0,30.539467,103.99617,成都,双流区,4.0,1.0
急招电子工程师助理,四川智优网络科技,"['30.58118', '103.893271']",165315995,6-8千,成都-双流区,,无需经验,民营,计算机软件,2025-11-20 09:16:00,4.0,6.0,5.0,30.58118,103.893271,成都,双流区,,0.0
电子工程师助理,内蒙古朝正机械设备,"['30.821817', '103.927688']",167536631,6-8千,成都-郫都区,大专,无需经验,民营,计算机软件,2025-12-25 15:32:40,20.0,40.0,30.0,30.821817,103.927688,成都,郫都区,3.0,0.0
初级软件工程师,西安星云信通通信科技,"['30.639015', '103.983389']",161982625,5-8千,成都-武侯区,本科,1年及以上,民营,通信/电信/网络设备,2025-12-26 08:36:59,5.0,7.0,6.0,30.639015,103.983389,成都,武侯区,4.0,1.0
硬件测试工程师,成都融御歆信息技术,"['30.547122', '104.06545']",167452278,4-7千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,8.0,10.0,9.0,30.547122,104.06545,成都,高新区,4.0,0.0
产品研发部-嵌入式软件工程师（电器软件）,天府绛溪实验室,"['30.288917', '104.388153']",166597975,,成都,硕士,无需经验,事业单位,学术/科研,2025-10-28 14:34:49,10.0,20.0,15.0,30.288917,104.388153,成都,,5.0,0.0
校招-信息处理工程师（嵌入式）,成都国星通信,"['30.739093', '103.975585']",167724286,22-26万/年,成都,硕士,无需经验,已上市,通信/电信/网络设备,2025-12-18 09:46:31,5.0,8.0,6.5,30.739093,103.975585,成都,,5.0,0.0
C++开发实习生,成都零夏八度科技,"['30.545565', '104.081865']",167434094,4-6千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 19:23:16,4.0,6.0,5.0,30.545565,104.081865,成都,高新区,4.0,0.0
C++实习生,成都融御歆信息技术,"['30.547122', '104.06545']",167448520,3.5-5.5千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-25 18:57:34,5.0,8.0,6.5,30.547122,104.06545,成都,高新区,4.0,0.0
硬件开发工程师,成都融御歆信息技术,"['30.547122', '104.06545']",167450231,6-7千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,9.0,12.0,10.5,30.547122,104.06545,成都,高新区,4.0,1.0
软件开发工程师（初级/中级）,北京智链元芯科技,"['30.658944', '104.08633']",168560874,6.5千-1.3万·13薪,成都-锦江区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-10-12 18:24:29,6.0,8.0,7.0,30.658944,104.08633,成都,锦江区,4.0,1.0
以太网测试工程师,达发芯科技（成都）,"['30.54422', '104.071226']",170018899,5.5-7千·13薪,成都-武侯区,本科,无需经验,外资（非欧美）,电子技术/半导体/集成电路,2025-12-26 18:16:30,5.0,8.0,6.5,30.54422,104.071226,成都,武侯区,4.0,0.0
QT开发,成都融御歆信息技术,"['30.547122', '104.06545']",167399139,6-9千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,15.0,20.0,17.5,30.547122,104.06545,成都,高新区,4.0,1.0
信号工程师（双休，五险一金）,成都唯博星辰科技,"['30.693531', '104.015803']",169364023,1.5-3万,成都-青羊区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-18 15:56:06,15.0,30.0,22.5,30.693531,104.015803,成都,青羊区,4.0,1.0
硬件测试,成都臻琰科技,"['30.648713', '104.049424']",157025330,5-7千,成都-武侯区,本科,无需经验,民营,计算机软件,2025-12-25 19:13:12,15.0,30.0,22.5,30.648713,104.049424,成都,武侯区,4.0,0.0
硬件测试工程师,宜宾九博信息技术,"['30.586929', '104.083059']",164161503,4-6千,成都-武侯区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,4.0,7.0,5.5,30.586929,104.083059,成都,武侯区,4.0,1.0
软件开发工程师（六险一金）,深圳众芯优创科技,"['30.78979', '103.879466']",169801590,1.7-2.4万·15薪,成都-郫都区,本科,无需经验,民营,计算机软件,2025-12-13 09:43:41,11.0,13.0,12.0,30.78979,103.879466,成都,郫都区,4.0,0.0
